Fecha,TRM (COP)
2023-11-09,4065.79
2023-11-10,4056.94
2023-11-11,4037.19
2023-11-15,3963.57
2023-11-16,3976.84
2023-11-17,4077.44
2023-11-18,4116.59
2023-11-21,4033.83
2023-11-22,4060.15
2023-11-23,4092.33
2023-11-25,4044.51
2023-11-28,3989.89
2023-11-29,3957.77
2023-11-30,3980.67
2023-12-01,4045.22
2023-12-02,3983.15
2023-12-05,3999.91
2023-12-06,4023.21
2023-12-07,3989.55
2023-12-08,3998.51
2023-12-12,3982.50
2023-12-13,3990.88
2023-12-14,3999.43
2023-12-15,3955.88
2023-12-16,3956.76
2023-12-19,3932.59
2023-12-20,3925.77
2023-12-21,3948.54
2023-12-22,3943.03
2023-12-23,3915.43
2023-12-27,3871.45
2023-12-28,3844.81
2023-12-29,3822.05
2024-01-03,3895.53
2024-01-04,3914.60
2024-01-05,3927.64
2024-01-06,3912.93
2024-01-10,3934.13
2024-01-11,3946.39
2024-01-12,3929.79
2024-01-13,3901.38
2024-01-17,3940.85
2024-01-18,3969.50
2024-01-19,3939.89
2024-01-20,3916.39
2024-01-23,3904.49
2024-01-24,3934.62
2024-01-25,3929.95
2024-01-26,3932.96
2024-01-27,3925.26
2024-01-30,3918.93
2024-01-31,3925.60
2024-02-01,3915.56
2024-02-02,3889.05
2024-02-03,3928.11
2024-02-06,3975.74
2024-02-07,3950.57
2024-02-08,3962.23
2024-02-09,3954.68
2024-02-10,3926.08
2024-02-13,3915.28
2024-02-14,3929.00
2024-02-15,3916.61
2024-02-16,3909.89
2024-02-17,3917.84
2024-02-21,3912.97
2024-02-22,3930.26
2024-02-23,3935.64
2024-02-24,3949.36
2024-02-27,3963.08
2024-02-28,3935.59
2024-02-29,3933.56
2024-03-01,3931.31
2024-03-02,3934.82
2024-03-05,3948.67
2024-03-06,3945.32
2024-03-07,3932.55
2024-03-08,3920.79
2024-03-09,3905.45
2024-03-12,3907.81
2024-03-13,3919.86
2024-03-14,3908.02
2024-03-15,3899.39
2024-03-16,3884.64
2024-03-19,3880.59
2024-03-20,3894.37
2024-03-21,3886.94
2024-03-22,3888.02
2024-03-23,3901.51
2024-03-27,3865.97
2024-03-28,3842.30
2024-04-02,3863.05
2024-04-03,3845.22
2024-04-04,3812.13
2024-04-05,3775.37
2024-04-06,3764.23
2024-04-09,3768.80
2024-04-10,3763.43
2024-04-11,3815.44
2024-04-12,3820.10
2024-04-13,3864.97
2024-04-16,3889.58
2024-04-17,3938.11
2024-04-18,3901.94
2024-04-19,3918.23
2024-04-20,3937.13
2024-04-23,3924.82
2024-04-24,3910.01
2024-04-25,3935.65
2024-04-26,3964.59
2024-04-27,3926.02
2024-04-30,3873.44
2024-05-01,3899.07
2024-05-03,3898.62
2024-05-04,3895.41
2024-05-07,3894.23
2024-05-08,3884.84
2024-05-09,3902.63
2024-05-10,3900.38
2024-05-11,3888.21
2024-05-15,3861.82
2024-05-16,3825.42
2024-05-17,3828.98
2024-05-18,3832.26
2024-05-21,3822.39
2024-05-22,3814.94
2024-05-23,3829.59
2024-05-24,3837.58
2024-05-25,3878.07
2024-05-29,3853.09
2024-05-30,3867.02
2024-05-31,3874.32
2024-06-01,3860.92
2024-06-05,3909.65
2024-06-06,3927.91
2024-06-07,3938.53
2024-06-08,3944.14
